q101 AP880212-0047 WSJ880125-0124
q101 AP880330-0014 WSJ880125-0124 AP880212-0047
q101 WSJ880420-0116 WSJ880125-0124 AP880212-0047 AP880330-0014
q101 AP880513-0046 WSJ880125-0124 AP880212-0047 AP880330-0014 WSJ880420-0116
q118 AP900910-0139 AP900910-0043 AP900910-0069 AP900910-0075 AP900910-0084 WSJ900910-0130
q118 AP900911-0157 AP900910-0075 AP900910-0084 WSJ900910-0130 AP900910-0139 AP900910-0209
q118 AP900911-0181 AP900910-0084 WSJ900910-0130 AP900910-0139 AP900910-0209 AP900911-0157
q118 AP900913-0002 WSJ900910-0130 AP900910-0139 AP900910-0209 AP900911-0157 AP900911-0181
q118 AP900913-0115 AP900910-0139 AP900910-0209 AP900911-0157 AP900911-0181 AP900913-0002
q118 AP900913-0116 AP900910-0209 AP900911-0157 AP900911-0181 AP900913-0002 AP900913-0115
q118 AP900914-0021 AP900911-0157 AP900911-0181 AP900913-0002 AP900913-0115 AP900913-0116
q118 AP900914-0164 AP900911-0181 AP900913-0002 AP900913-0115 AP900913-0116 AP900914-0021
q118 AP900918-0072 AP900913-0002 AP900913-0115 AP900913-0116 AP900914-0021 AP900914-0164
q118 AP900918-0174 AP900913-0115 AP900913-0116 AP900914-0021 AP900914-0164 AP900918-0072
q118 WSJ900919-0015 AP900913-0116 AP900914-0021 AP900914-0164 AP900918-0072 AP900918-0174
q118 AP900919-0155 AP900914-0021 AP900914-0164 AP900918-0072 AP900918-0174 WSJ900919-0015
q118 WSJ900924-0115 AP900914-0164 AP900918-0072 AP900918-0174 WSJ900919-0015 AP900919-0155
q118 AP900926-0018 AP900918-0072 AP900918-0174 WSJ900919-0015 AP900919-0155 WSJ900924-0115
q118 AP900928-0011 AP900918-0174 WSJ900919-0015 AP900919-0155 WSJ900924-0115 AP900926-0018
q118 AP900928-0123 WSJ900919-0015 AP900919-0155 WSJ900924-0115 AP900926-0018 AP900928-0011
q118 AP900929-0047 AP900919-0155 WSJ900924-0115 AP900926-0018 AP900928-0011 AP900928-0123
q118 AP900929-0105 WSJ900924-0115 AP900926-0018 AP900928-0011 AP900928-0123 AP900929-0047
q118 AP900930-0049 AP900926-0018 AP900928-0011 AP900928-0123 AP900929-0047 AP900929-0105
q118 AP901001-0055 AP900928-0011 AP900928-0123 AP900929-0047 AP900929-0105 AP900930-0049
q118 AP901001-0162 AP900928-0123 AP900929-0047 AP900929-0105 AP900930-0049 AP901001-0055
q118 AP901003-0138 AP900929-0047 AP900929-0105 AP900930-0049 AP901001-0055 AP901001-0162
q118 AP901003-0172 AP900929-0105 AP900930-0049 AP901001-0055 AP901001-0162 AP901003-0138
q118 AP901004-0050 AP900930-0049 AP901001-0055 AP901001-0162 AP901003-0138 AP901003-0172
q118 AP901004-0156 AP901001-0055 AP901001-0162 AP901003-0138 AP901003-0172 AP901004-0050
q118 AP901005-0015 AP901001-0162 AP901003-0138 AP901003-0172 AP901004-0050 AP901004-0156
q118 AP901006-0027 AP901003-0138 AP901003-0172 AP901004-0050 AP901004-0156 AP901005-0015
q118 AP901006-0033 AP901003-0172 AP901004-0050 AP901004-0156 AP901005-0015 AP901006-0027
q118 AP901006-0050 AP901004-0050 AP901004-0156 AP901005-0015 AP901006-0027 AP901006-0033
q118 AP901006-0075 AP901004-0156 AP901005-0015 AP901006-0027 AP901006-0033 AP901006-0050
q118 AP901009-0124 AP901005-0015 AP901006-0027 AP901006-0033 AP901006-0050 AP901006-0075
q118 AP901010-0048 AP901006-0027 AP901006-0033 AP901006-0050 AP901006-0075 AP901009-0124
q118 AP901010-0134 AP901006-0033 AP901006-0050 AP901006-0075 AP901009-0124 AP901010-0048
q118 AP901011-0061 AP901006-0050 AP901006-0075 AP901009-0124 AP901010-0048 AP901010-0134
q118 AP901012-0033 AP901006-0075 AP901009-0124 AP901010-0048 AP901010-0134 AP901011-0061
q118 AP901012-0178 AP901009-0124 AP901010-0048 AP901010-0134 AP901011-0061 AP901012-0033
q118 AP901013-0046 AP901010-0048 AP901010-0134 AP901011-0061 AP901012-0033 AP901012-0178
q118 AP901013-0079 AP901010-0134 AP901011-0061 AP901012-0033 AP901012-0178 AP901013-0046
q118 AP901014-0053 AP901011-0061 AP901012-0033 AP901012-0178 AP901013-0046 AP901013-0079
q118 AP901015-0174 AP901012-0033 AP901012-0178 AP901013-0046 AP901013-0079 AP901014-0053
q118 AP901022-0027 AP901012-0178 AP901013-0046 AP901013-0079 AP901014-0053 AP901015-0174
q118 AP901024-0131 AP901013-0046 AP901013-0079 AP901014-0053 AP901015-0174 AP901022-0027
q118 AP901025-0120 AP901013-0079 AP901014-0053 AP901015-0174 AP901022-0027 AP901024-0131
q118 AP901026-0012 AP901014-0053 AP901015-0174 AP901022-0027 AP901024-0131 AP901025-0120
q118 AP901026-0090 AP901015-0174 AP901022-0027 AP901024-0131 AP901025-0120 AP901026-0012
q118 AP901027-0043 AP901022-0027 AP901024-0131 AP901025-0120 AP901026-0012 AP901026-0090
q118 AP901031-0109 AP901024-0131 AP901025-0120 AP901026-0012 AP901026-0090 AP901027-0043
q118 AP901031-0155 AP901025-0120 AP901026-0012 AP901026-0090 AP901027-0043 AP901031-0109
q118 AP901101-0082 AP901026-0090 AP901027-0043 AP901031-0109 AP901031-0155 AP901101-0032
q118 AP901102-0063 AP901027-0043 AP901031-0109 AP901031-0155 AP901101-0032 AP901101-0082
q118 AP901104-0037 AP901031-0109 AP901031-0155 AP901101-0032 AP901101-0082 AP901102-0063
q118 AP901105-0141 AP901101-0032 AP901101-0082 AP901102-0063 AP901104-0037 AP901105-0023
q118 AP901107-0251 AP901101-0082 AP901102-0063 AP901104-0037 AP901105-0023 AP901105-0141
q118 AP901109-0116 AP901102-0063 AP901104-0037 AP901105-0023 AP901105-0141 AP901107-0251
q118 AP901114-0037 AP901104-0037 AP901105-0023 AP901105-0141 AP901107-0251 AP901109-0116
q118 AP901114-0174 AP901105-0023 AP901105-0141 AP901107-0251 AP901109-0116 AP901114-0037
q118 AP901114-0179 AP901105-0141 AP901107-0251 AP901109-0116 AP901114-0037 AP901114-0174
q118 AP901115-0176 AP901107-0251 AP901109-0116 AP901114-0037 AP901114-0174 AP901114-0179
q118 AP901119-0007 AP901109-0116 AP901114-0037 AP901114-0174 AP901114-0179 AP901115-0176
q118 AP901120-0116 AP901114-0037 AP901114-0174 AP901114-0179 AP901115-0176 AP901119-0007
q118 AP901120-0137 AP901114-0174 AP901114-0179 AP901115-0176 AP901119-0007 AP901120-0116
q118 AP901121-0076 AP901114-0179 AP901115-0176 AP901119-0007 AP901120-0116 AP901120-0137
q118 AP901121-0082 AP901115-0176 AP901119-0007 AP901120-0116 AP901120-0137 AP901121-0076
q118 AP901121-0088 AP901119-0007 AP901120-0116 AP901120-0137 AP901121-0076 AP901121-0082
q118 AP901121-0161 AP901120-0116 AP901120-0137 AP901121-0076 AP901121-0082 AP901121-0088
q118 AP901124-0103 AP901120-0137 AP901121-0076 AP901121-0082 AP901121-0088 AP901121-0161
q118 AP901124-0109 AP901121-0076 AP901121-0082 AP901121-0088 AP901121-0161 AP901124-0103
q118 AP901125-0019 AP901121-0082 AP901121-0088 AP901121-0161 AP901124-0103 AP901124-0109
q118 AP901125-0020 AP901121-0088 AP901121-0161 AP901124-0103 AP901124-0109 AP901125-0019
q118 AP901127-0038 AP901124-0109 AP901125-0019 AP901125-0020 AP901125-0045 AP901125-0049
q118 AP901127-0043 AP901125-0019 AP901125-0020 AP901125-0045 AP901125-0049 AP901127-0038
q118 AP901127-0058 AP901125-0020 AP901125-0045 AP901125-0049 AP901127-0038 AP901127-0043
q118 AP901127-0155 AP901125-0045 AP901125-0049 AP901127-0038 AP901127-0043 AP901127-0058
q118 AP901130-0073 AP901125-0049 AP901127-0038 AP901127-0043 AP901127-0058 AP901127-0155
q118 AP901201-0009 AP901127-0038 AP901127-0043 AP901127-0058 AP901127-0155 AP901130-0073
q118 AP901203-0067 AP901127-0043 AP901127-0058 AP901127-0155 AP901130-0073 AP901201-0009
q118 AP901203-0163 AP901127-0058 AP901127-0155 AP901130-0073 AP901201-0009 AP901203-0067
q118 AP901204-0061 AP901127-0155 AP901130-0073 AP901201-0009 AP901203-0067 AP901203-0163
q118 AP901204-0134 AP901130-0073 AP901201-0009 AP901203-0067 AP901203-0163 AP901204-0061
q118 AP901207-0137 AP901201-0009 AP901203-0067 AP901203-0163 AP901204-0061 AP901204-0134
q118 AP901210-0019 AP901203-0067 AP901203-0163 AP901204-0061 AP901204-0134 AP901207-0137
q118 AP901214-0087 AP901203-0163 AP901204-0061 AP901204-0134 AP901207-0137 AP901210-0019
q118 AP901214-0147 AP901204-0061 AP901204-0134 AP901207-0137 AP901210-0019 AP901214-0087
q118 AP901215-0037 AP901204-0134 AP901207-0137 AP901210-0019 AP901214-0087 AP901214-0147
q118 AP901215-0127 AP901207-0137 AP901210-0019 AP901214-0087 AP901214-0147 AP901215-0037
q118 AP901216-0016 AP901210-0019 AP901214-0087 AP901214-0147 AP901215-0037 AP901215-0127
q118 AP901218-0043 AP901214-0087 AP901214-0147 AP901215-0037 AP901215-0127 AP901216-0016
q118 AP901220-0195 AP901214-0147 AP901215-0037 AP901215-0127 AP901216-0016 AP901218-0043
q118 AP901224-0136 AP901215-0037 AP901215-0127 AP901216-0016 AP901218-0043 AP901220-0195
q136 WSJ880115-0099 WSJ880114-0065
q136 WSJ880126-0089 WSJ880114-0065 WSJ880115-0099 WSJ880119-0006 WSJ880120-0078
q136 WSJ880218-0111 WSJ880114-0065 WSJ880115-0099 WSJ880119-0006 WSJ880120-0078 WSJ880126-0089
q136 WSJ880301-0147 WSJ880115-0099 WSJ880119-0006 WSJ880120-0078 WSJ880126-0089 WSJ880218-0111
q136 WSJ880308-0077 WSJ880119-0006 WSJ880120-0078 WSJ880126-0089 WSJ880218-0111 WSJ880301-0147
q136 WSJ880309-0056 WSJ880120-0078 WSJ880126-0089 WSJ880218-0111 WSJ880301-0147 WSJ880308-0077
q136 WSJ880311-0093 WSJ880126-0089 WSJ880218-0111 WSJ880301-0147 WSJ880308-0077 WSJ880309-0056
q136 WSJ880317-0067 WSJ880218-0111 WSJ880301-0147 WSJ880308-0077 WSJ880309-0056 WSJ880311-0093
q136 WSJ880322-0152 WSJ880301-0147 WSJ880308-0077 WSJ880309-0056 WSJ880311-0093 WSJ880317-0067
q136 WSJ880408-0146 WSJ880309-0056 WSJ880311-0093 WSJ880317-0067 WSJ880322-0152 WSJ880325-0045
q136 WSJ880425-0136 WSJ880311-0093 WSJ880317-0067 WSJ880322-0152 WSJ880325-0045 WSJ880408-0146
q136 WSJ880510-0093 WSJ880317-0067 WSJ880322-0152 WSJ880325-0045 WSJ880408-0146 WSJ880425-0136
q136 WSJ880516-0130 WSJ880322-0152 WSJ880325-0045 WSJ880408-0146 WSJ880425-0136 WSJ880510-0093
q136 WSJ880518-0035 WSJ880325-0045 WSJ880408-0146 WSJ880425-0136 WSJ880510-0093 WSJ880516-0130
q136 WSJ880606-0032 WSJ880408-0146 WSJ880425-0136 WSJ880510-0093 WSJ880516-0130 WSJ880518-0035
q136 WSJ880624-0107 WSJ880425-0136 WSJ880510-0093 WSJ880516-0130 WSJ880518-0035 WSJ880606-0032
q136 WSJ880627-0086 WSJ880510-0093 WSJ880516-0130 WSJ880518-0035 WSJ880606-0032 WSJ880624-0107
q136 WSJ880630-0056 WSJ880516-0130 WSJ880518-0035 WSJ880606-0032 WSJ880624-0107 WSJ880627-0086
q136 WSJ880721-0049 WSJ880518-0035 WSJ880606-0032 WSJ880624-0107 WSJ880627-0086 WSJ880630-0056
q136 WSJ880808-0110 WSJ880606-0032 WSJ880624-0107 WSJ880627-0086 WSJ880630-0056 WSJ880721-0049
q136 WSJ880810-0003 WSJ880624-0107 WSJ880627-0086 WSJ880630-0056 WSJ880721-0049 WSJ880808-0110
q136 WSJ880810-0068 WSJ880627-0086 WSJ880630-0056 WSJ880721-0049 WSJ880808-0110 WSJ880810-0003
q136 WSJ880901-0106 WSJ880630-0056 WSJ880721-0049 WSJ880808-0110 WSJ880810-0003 WSJ880810-0068
q136 WSJ880908-0094 WSJ880721-0049 WSJ880808-0110 WSJ880810-0003 WSJ880810-0068 WSJ880901-0106
q136 WSJ880909-0153 WSJ880808-0110 WSJ880810-0003 WSJ880810-0068 WSJ880901-0106 WSJ880908-0094
q136 WSJ881014-0017 WSJ880810-0068 WSJ880901-0106 WSJ880908-0094 WSJ880909-0153 WSJ880916-0121
q136 WSJ881018-0126 WSJ880901-0106 WSJ880908-0094 WSJ880909-0153 WSJ880916-0121 WSJ881014-0017
q136 WSJ881021-0112 WSJ880908-0094 WSJ880909-0153 WSJ880916-0121 WSJ881014-0017 WSJ881018-0126
q136 WSJ881104-0081 WSJ880909-0153 WSJ880916-0121 WSJ881014-0017 WSJ881018-0126 WSJ881021-0112
q136 AP890214-0046 WSJ880916-0121 WSJ881014-0017 WSJ881018-0126 WSJ881021-0112 WSJ881104-0081
q136 AP890214-0242 WSJ881014-0017 WSJ881018-0126 WSJ881021-0112 WSJ881104-0081 AP890214-0046
q136 AP890413-0201 WSJ881018-0126 WSJ881021-0112 WSJ881104-0081 AP890214-0046 AP890214-0242
q136 AP890421-0282 WSJ881021-0112 WSJ881104-0081 AP890214-0046 AP890214-0242 AP890413-0201
q136 AP890428-0233 WSJ881104-0081 AP890214-0046 AP890214-0242 AP890413-0201 AP890421-0282
q136 AP890502-0236 AP890214-0046 AP890214-0242 AP890413-0201 AP890421-0282 AP890428-0233
q136 WSJ890807-0041 AP890214-0242 AP890413-0201 AP890421-0282 AP890428-0233 AP890502-0236
q136 WSJ890818-0128 AP890413-0201 AP890421-0282 AP890428-0233 AP890502-0236 WSJ890807-0041
q136 WSJ890907-0084 AP890421-0282 AP890428-0233 AP890502-0236 WSJ890807-0041 WSJ890818-0128
q136 WSJ890913-0051 AP890428-0233 AP890502-0236 WSJ890807-0041 WSJ890818-0128 WSJ890907-0084
q136 WSJ890922-0225 AP890502-0236 WSJ890807-0041 WSJ890818-0128 WSJ890907-0084 WSJ890913-0051
q136 WSJ890927-0011 WSJ890807-0041 WSJ890818-0128 WSJ890907-0084 WSJ890913-0051 WSJ890922-0225
q136 WSJ891002-0132 WSJ890818-0128 WSJ890907-0084 WSJ890913-0051 WSJ890922-0225 WSJ890927-0011
q136 WSJ891010-0080 WSJ890907-0084 WSJ890913-0051 WSJ890922-0225 WSJ890927-0011 WSJ891002-0132
q136 WSJ891019-0026 WSJ890913-0051 WSJ890922-0225 WSJ890927-0011 WSJ891002-0132 WSJ891010-0080
q136 AP891207-0134 WSJ890922-0225 WSJ890927-0011 WSJ891002-0132 WSJ891010-0080 WSJ891019-0026
q136 AP891207-0220 WSJ890927-0011 WSJ891002-0132 WSJ891010-0080 WSJ891019-0026 AP891207-0134
q136 AP891207-0229 WSJ891002-0132 WSJ891010-0080 WSJ891019-0026 AP891207-0134 AP891207-0220
q136 AP891208-0234 WSJ891010-0080 WSJ891019-0026 AP891207-0134 AP891207-0220 AP891207-0229
q136 WSJ900402-0004 WSJ891019-0026 AP891207-0134 AP891207-0220 AP891207-0229 AP891208-0234
q136 WSJ900404-0156 AP891207-0134 AP891207-0220 AP891207-0229 AP891208-0234 WSJ900402-0004
q136 WSJ900413-0062 AP891207-0220 AP891207-0229 AP891208-0234 WSJ900402-0004 WSJ900404-0156
q136 WSJ900420-0009 AP891207-0229 AP891208-0234 WSJ900402-0004 WSJ900404-0156 WSJ900413-0062
q136 WSJ900511-0104 AP891208-0234 WSJ900402-0004 WSJ900404-0156 WSJ900413-0062 WSJ900420-0009
q136 WSJ900514-0082 WSJ900402-0004 WSJ900404-0156 WSJ900413-0062 WSJ900420-0009 WSJ900511-0104
q136 WSJ900515-0086 WSJ900404-0156 WSJ900413-0062 WSJ900420-0009 WSJ900511-0104 WSJ900514-0082
q136 WSJ900523-0074 WSJ900413-0062 WSJ900420-0009 WSJ900511-0104 WSJ900514-0082 WSJ900515-0086
q136 WSJ900607-0027 WSJ900420-0009 WSJ900511-0104 WSJ900514-0082 WSJ900515-0086 WSJ900523-0074
q136 AP900620-0236 WSJ900511-0104 WSJ900514-0082 WSJ900515-0086 WSJ900523-0074 WSJ900607-0027
q136 AP900725-0227 WSJ900515-0086 WSJ900523-0074 WSJ900607-0027 AP900620-0236 WSJ900627-0002
q136 WSJ900726-0114 WSJ900607-0027 AP900620-0236 WSJ900627-0002 AP900725-0227 WSJ900726-0020
q136 WSJ900824-0053 AP900620-0236 WSJ900627-0002 AP900725-0227 WSJ900726-0020 WSJ900726-0114
q136 WSJ900919-0103 WSJ900627-0002 AP900725-0227 WSJ900726-0020 WSJ900726-0114 WSJ900824-0053
q136 WSJ900924-0009 AP900725-0227 WSJ900726-0020 WSJ900726-0114 WSJ900824-0053 WSJ900919-0103
q136 WSJ900925-0132 WSJ900726-0020 WSJ900726-0114 WSJ900824-0053 WSJ900919-0103 WSJ900924-0009
q136 AP901017-0170 WSJ900726-0114 WSJ900824-0053 WSJ900919-0103 WSJ900924-0009 WSJ900925-0132
q136 WSJ901227-0004 WSJ900824-0053 WSJ900919-0103 WSJ900924-0009 WSJ900925-0132 AP901017-0170
q117 WSJ880115-0044 WSJ880105-0029
q117 WSJ880126-0089 WSJ880105-0029 WSJ880115-0044
q117 WSJ880129-0104 WSJ880105-0029 WSJ880115-0044 WSJ880126-0089
q117 WSJ880202-0016 WSJ880105-0029 WSJ880115-0044 WSJ880126-0089 WSJ880129-0104
q117 WSJ880211-0016 WSJ880105-0029 WSJ880115-0044 WSJ880126-0089 WSJ880129-0104 WSJ880202-0016
q117 WSJ880222-0066 WSJ880115-0044 WSJ880126-0089 WSJ880129-0104 WSJ880202-0016 WSJ880211-0016
q117 WSJ880317-0073 WSJ880126-0089 WSJ880129-0104 WSJ880202-0016 WSJ880211-0016 WSJ880222-0066
q117 AP880416-0005 WSJ880129-0104 WSJ880202-0016 WSJ880211-0016 WSJ880222-0066 WSJ880317-0073
q117 AP880425-0293 WSJ880202-0016 WSJ880211-0016 WSJ880222-0066 WSJ880317-0073 AP880416-0005
q117 WSJ880426-0015 WSJ880211-0016 WSJ880222-0066 WSJ880317-0073 AP880416-0005 AP880425-0293
q117 WSJ880511-0151 WSJ880222-0066 WSJ880317-0073 AP880416-0005 AP880425-0293 WSJ880426-0015
q117 AP880527-0342 WSJ880317-0073 AP880416-0005 AP880425-0293 WSJ880426-0015 WSJ880511-0151
q117 WSJ880531-0138 AP880416-0005 AP880425-0293 WSJ880426-0015 WSJ880511-0151 AP880527-0342
q117 AP880601-0292 AP880425-0293 WSJ880426-0015 WSJ880511-0151 AP880527-0342 WSJ880531-0138
q117 AP880610-0321 WSJ880426-0015 WSJ880511-0151 AP880527-0342 WSJ880531-0138 AP880601-0292
q117 WSJ880617-0125 WSJ880511-0151 AP880527-0342 WSJ880531-0138 AP880601-0292 AP880610-0321
q117 WSJ880831-0119 AP880527-0342 WSJ880531-0138 AP880601-0292 AP880610-0321 WSJ880617-0125
q117 WSJ880901-0045 WSJ880531-0138 AP880601-0292 AP880610-0321 WSJ880617-0125 WSJ880831-0119
q117 AP880916-0027 AP880601-0292 AP880610-0321 WSJ880617-0125 WSJ880831-0119 WSJ880901-0045
q117 WSJ881006-0024 AP880610-0321 WSJ880617-0125 WSJ880831-0119 WSJ880901-0045 AP880916-0027
q117 WSJ881014-0017 WSJ880617-0125 WSJ880831-0119 WSJ880901-0045 AP880916-0027 WSJ881006-0024
q117 WSJ881020-0026 WSJ880831-0119 WSJ880901-0045 AP880916-0027 WSJ881006-0024 WSJ881014-0017
q117 WSJ881020-0054 WSJ880901-0045 AP880916-0027 WSJ881006-0024 WSJ881014-0017 WSJ881020-0026
q117 WSJ881103-0093 AP880916-0027 WSJ881006-0024 WSJ881014-0017 WSJ881020-0026 WSJ881020-0054
q117 AP881130-0286 WSJ881006-0024 WSJ881014-0017 WSJ881020-0026 WSJ881020-0054 WSJ881103-0093
q117 AP890125-0268 WSJ881014-0017 WSJ881020-0026 WSJ881020-0054 WSJ881103-0093 AP881130-0286
q117 AP890209-0249 WSJ881020-0026 WSJ881020-0054 WSJ881103-0093 AP881130-0286 AP890125-0268
q117 AP890210-0251 WSJ881020-0054 WSJ881103-0093 AP881130-0286 AP890125-0268 AP890209-0249
q117 AP890426-0235 WSJ881103-0093 AP881130-0286 AP890125-0268 AP890209-0249 AP890210-0251
q117 AP890525-0283 AP881130-0286 AP890125-0268 AP890209-0249 AP890210-0251 AP890426-0235
q117 AP890607-0225 AP890125-0268 AP890209-0249 AP890210-0251 AP890426-0235 AP890525-0283
q117 AP890608-0244 AP890209-0249 AP890210-0251 AP890426-0235 AP890525-0283 AP890607-0225
q117 AP890621-0236 AP890210-0251 AP890426-0235 AP890525-0283 AP890607-0225 AP890608-0244
q117 AP890630-0277 AP890426-0235 AP890525-0283 AP890607-0225 AP890608-0244 AP890621-0236
q117 WSJ890728-0068 AP890525-0283 AP890607-0225 AP890608-0244 AP890621-0236 AP890630-0277
q117 AP890809-0298 AP890607-0225 AP890608-0244 AP890621-0236 AP890630-0277 WSJ890728-0068
q117 WSJ890825-0037 AP890608-0244 AP890621-0236 AP890630-0277 WSJ890728-0068 AP890809-0298
q117 AP890831-0278 AP890630-0277 WSJ890728-0068 AP890809-0298 WSJ890825-0037 AP890825-0209
q117 AP890911-0279 WSJ890728-0068 AP890809-0298 WSJ890825-0037 AP890825-0209 AP890831-0278
q117 WSJ890912-0028 AP890809-0298 WSJ890825-0037 AP890825-0209 AP890831-0278 AP890911-0279
q117 WSJ890913-0051 WSJ890825-0037 AP890825-0209 AP890831-0278 AP890911-0279 WSJ890912-0028
q117 WSJ890929-0015 AP890831-0278 AP890911-0279 WSJ890912-0028 WSJ890913-0051 WSJ890925-0144
q117 AP891003-0238 AP890911-0279 WSJ890912-0028 WSJ890913-0051 WSJ890925-0144 WSJ890929-0015
q117 AP891027-0262 WSJ890929-0015 AP891003-0238 AP891004-0256 WSJ891011-0057 AP891011-0227
q117 AP891027-0292 AP891003-0238 AP891004-0256 WSJ891011-0057 AP891011-0227 AP891027-0262
q117 WSJ891030-0115 AP891004-0256 WSJ891011-0057 AP891011-0227 AP891027-0262 AP891027-0292
q117 AP891129-0278 WSJ891011-0057 AP891011-0227 AP891027-0262 AP891027-0292 WSJ891030-0115
q117 AP891205-0197 AP891011-0227 AP891027-0262 AP891027-0292 WSJ891030-0115 AP891129-0278
q117 AP891211-0306 AP891027-0292 WSJ891030-0115 AP891129-0278 AP891205-0197 AP891205-0198
q117 AP900201-0297 WSJ891030-0115 AP891129-0278 AP891205-0197 AP891205-0198 AP891211-0306
q117 AP900220-0263 AP891129-0278 AP891205-0197 AP891205-0198 AP891211-0306 AP900201-0297
q117 AP900305-0258 AP891205-0197 AP891205-0198 AP891211-0306 AP900201-0297 AP900220-0263
q117 WSJ900420-0009 AP891205-0198 AP891211-0306 AP900201-0297 AP900220-0263 AP900305-0258
q117 AP900420-0278 AP891211-0306 AP900201-0297 AP900220-0263 AP900305-0258 WSJ900420-0009
q117 WSJ900423-0067 AP900220-0263 AP900305-0258 WSJ900420-0009 AP900420-0278 AP900420-0280
q117 AP900426-0281 WSJ900420-0009 AP900420-0278 AP900420-0280 WSJ900423-0067 AP900423-0229
q117 AP900509-0226 AP900420-0278 AP900420-0280 WSJ900423-0067 AP900423-0229 AP900426-0281
q117 WSJ900514-0082 AP900420-0280 WSJ900423-0067 AP900423-0229 AP900426-0281 AP900509-0226
q117 WSJ900607-0027 WSJ900423-0067 AP900423-0229 AP900426-0281 AP900509-0226 WSJ900514-0082
q117 AP900607-0239 AP900423-0229 AP900426-0281 AP900509-0226 WSJ900514-0082 WSJ900607-0027
q117 AP900608-0241 AP900426-0281 AP900509-0226 WSJ900514-0082 WSJ900607-0027 AP900607-0239
q117 WSJ900620-0088 AP900509-0226 WSJ900514-0082 WSJ900607-0027 AP900607-0239 AP900608-0241
q117 AP900620-0234 WSJ900514-0082 WSJ900607-0027 AP900607-0239 AP900608-0241 WSJ900620-0088
q117 AP900713-0219 AP900607-0239 AP900608-0241 WSJ900620-0088 AP900620-0234 AP900621-0230
q117 AP900717-0247 AP900608-0241 WSJ900620-0088 AP900620-0234 AP900621-0230 AP900713-0219
q117 WSJ900724-0004 WSJ900620-0088 AP900620-0234 AP900621-0230 AP900713-0219 AP900717-0247
q117 AP900725-0227 AP900620-0234 AP900621-0230 AP900713-0219 AP900717-0247 WSJ900724-0004
q117 WSJ900726-0114 AP900621-0230 AP900713-0219 AP900717-0247 WSJ900724-0004 AP900725-0227
q117 WSJ900727-0101 AP900713-0219 AP900717-0247 WSJ900724-0004 AP900725-0227 WSJ900726-0114
q117 WSJ900802-0106 AP900717-0247 WSJ900724-0004 AP900725-0227 WSJ900726-0114 WSJ900727-0101
q117 WSJ900803-0078 WSJ900724-0004 AP900725-0227 WSJ900726-0114 WSJ900727-0101 WSJ900802-0106
q117 WSJ900823-0092 AP900725-0227 WSJ900726-0114 WSJ900727-0101 WSJ900802-0106 WSJ900803-0078
q117 AP900903-0011 WSJ900726-0114 WSJ900727-0101 WSJ900802-0106 WSJ900803-0078 WSJ900823-0092
q117 WSJ900918-0013 WSJ900727-0101 WSJ900802-0106 WSJ900803-0078 WSJ900823-0092 AP900903-0011
q117 WSJ900919-0103 WSJ900802-0106 WSJ900803-0078 WSJ900823-0092 AP900903-0011 WSJ900918-0013
q117 WSJ900919-0166 WSJ900803-0078 WSJ900823-0092 AP900903-0011 WSJ900918-0013 WSJ900919-0103
q117 AP901211-0197 WSJ900823-0092 AP900903-0011 WSJ900918-0013 WSJ900919-0103 WSJ900919-0166
q117 AP901211-0202 AP900903-0011 WSJ900918-0013 WSJ900919-0103 WSJ900919-0166 AP901211-0197
q117 AP901211-0217 WSJ900918-0013 WSJ900919-0103 WSJ900919-0166 AP901211-0197 AP901211-0202
q117 AP901213-0253 WSJ900919-0103 WSJ900919-0166 AP901211-0197 AP901211-0202 AP901211-0217
q117 AP901213-0293 WSJ900919-0166 AP901211-0197 AP901211-0202 AP901211-0217 AP901213-0253
q117 AP901223-0047 AP901211-0202 AP901211-0217 AP901213-0253 AP901213-0293 AP901214-0211
q116 WSJ880506-0089 AP880430-0161
q116 WSJ880915-0141 AP880430-0161 WSJ880506-0089
q116 WSJ881018-0052 AP880430-0161 WSJ880506-0089 WSJ880915-0141
q116 AP890426-0044 AP880430-0161 WSJ880506-0089 WSJ880915-0141 WSJ881018-0052
q116 AP890725-0031 AP880430-0161 WSJ880506-0089 WSJ880915-0141 WSJ881018-0052 AP890426-0044
q116 AP890726-0185 WSJ880506-0089 WSJ880915-0141 WSJ881018-0052 AP890426-0044 AP890725-0031
q116 WSJ890809-0123 WSJ880915-0141 WSJ881018-0052 AP890426-0044 AP890725-0031 AP890726-0185
q116 AP890812-0017 WSJ881018-0052 AP890426-0044 AP890725-0031 AP890726-0185 WSJ890809-0123
q116 AP890830-0013 AP890426-0044 AP890725-0031 AP890726-0185 WSJ890809-0123 AP890812-0017
q116 WSJ890901-0048 AP890725-0031 AP890726-0185 WSJ890809-0123 AP890812-0017 AP890830-0013
q116 AP890901-0104 AP890726-0185 WSJ890809-0123 AP890812-0017 AP890830-0013 WSJ890901-0048
q116 AP890913-0313 AP890812-0017 AP890830-0013 WSJ890901-0048 AP890901-0104 AP890901-0239
q116 AP890921-0288 AP890830-0013 WSJ890901-0048 AP890901-0104 AP890901-0239 AP890913-0313
q116 WSJ890928-0122 WSJ890901-0048 AP890901-0104 AP890901-0239 AP890913-0313 AP890921-0288
q116 WSJ891004-0140 AP890901-0104 AP890901-0239 AP890913-0313 AP890921-0288 WSJ890928-0122
